b'["time", "open", "high", "low", "close", "volume"]'
b'["2022-02-14 15:09:00", "129.72", "129.83", "129.72", "129.77", "4571"]'
b'["2022-02-14 15:08:00", "129.71", "129.72", "129.68", "129.705", "4605"]'
b'["2022-02-14 15:07:00", "129.69", "129.7", "129.62", "129.7", "6126"]'
b'["2022-02-14 15:02:00", "129.795", "129.83", "129.74", "129.78", "5077"]'
b'["2022-02-14 15:00:00", "129.73", "129.79", "129.67", "129.79", "8297"]'
b'["2022-02-14 14:58:00", "129.64", "129.66", "129.615", "129.66", "3336"]'
b'["2022-02-14 14:55:00", "129.78", "129.78", "129.67", "129.67", "4720"]'
b'["2022-02-14 14:54:00", "129.8018", "129.84", "129.75", "129.75", "5135"]'
b'["2022-02-14 14:53:00", "129.83", "129.87", "129.81", "129.81", "5965"]'
b'["2022-02-14 14:51:00", "129.465", "129.68", "129.465", "129.68", "4195"]'
b'["2022-02-14 14:50:00", "129.42", "129.48", "129.42", "129.48", "4707"]'
b'["2022-02-14 14:49:00", "129.525", "129.55", "129.45", "129.46", "6215"]'
b'["2022-02-14 14:48:00", "129.575", "129.59", "129.52", "129.5237", "3600"]'
b'["2022-02-14 14:47:00", "129.55", "129.62", "129.511", "129.59", "3921"]'
b'["2022-02-14 14:44:00", "129.555", "129.57", "129.51", "129.51", "6156"]'
b'["2022-02-14 14:43:00", "129.69", "129.69", "129.53", "129.53", "7229"]'
b'["2022-02-14 14:42:00", "129.71", "129.7561", "129.675", "129.69", "4607"]'
b'["2022-02-14 14:41:00", "129.6", "129.7", "129.59", "129.7", "5943"]'
b'["2022-02-14 14:38:00", "129.7", "129.74", "129.55", "129.565", "6308"]'
b'["2022-02-14 14:37:00", "129.74", "129.77", "129.67", "129.76", "6959"]'
b'["2022-02-14 14:36:00", "129.6614", "129.8", "129.6614", "129.75", "8011"]'
b'["2022-02-14 14:35:00", "129.45", "129.7", "129.45", "129.69", "7829"]'
b'["2022-02-14 14:33:00", "129.43", "129.47", "129.34", "129.45", "16697"]'
b'["2022-02-14 14:29:00", "129.3104", "129.53", "129.31", "129.52", "21809"]'
b'["2022-02-14 14:28:00", "129.32", "129.32", "129.27", "129.31", "5993"]'
b'["2022-02-14 14:25:00", "129.385", "129.4339", "129.351", "129.36", "3622"]'
b'["2022-02-14 14:24:00", "129.4055", "129.43", "129.3775", "129.3775", "2504"]'
b'["2022-02-14 14:21:00", "129.48", "129.49", "129.43", "129.465", "6551"]'
b'["2022-02-14 14:19:00", "129.37", "129.37", "129.3", "129.37", "6953"]'
b'["2022-02-14 14:17:00", "129.43", "129.46", "129.375", "129.4", "5708"]'
b'["2022-02-14 14:16:00", "129.48", "129.49", "129.375", "129.42", "9194"]'
b'["2022-02-14 14:15:00", "129.46", "129.52", "129.4465", "129.46", "21315"]'
b'["2022-02-14 14:09:00", "129.42", "129.47", "129.37", "129.41", "14645"]'
b'["2022-02-14 14:03:00", "129.62", "129.68", "129.5701", "129.61", "24441"]'
b'["2022-02-14 14:02:00", "129.6337", "129.67", "129.57", "129.65", "9815"]'
b'["2022-02-14 14:00:00", "129.7", "129.7", "129.6", "129.62", "9020"]'
b'["2022-02-14 13:58:00", "129.69", "129.86", "129.62", "129.785", "22017"]'
b'["2022-02-14 13:57:00", "129.67", "129.715", "129.67", "129.7", "5254"]'
b'["2022-02-14 13:55:00", "129.78", "129.79", "129.64", "129.71", "5741"]'
b'["2022-02-14 13:53:00", "129.86", "129.93", "129.8", "129.8", "6990"]'
b'["2022-02-14 13:52:00", "129.77", "129.88", "129.68", "129.88", "13583"]'
b'["2022-02-14 13:48:00", "130.25", "130.27", "130.21", "130.22", "4246"]'
b'["2022-02-14 13:47:00", "130.26", "130.27", "130.23", "130.24", "2357"]'
b'["2022-02-14 13:46:00", "130.31", "130.33", "130.25", "130.25", "4016"]'
b'["2022-02-14 13:45:00", "130.36", "130.38", "130.31", "130.31", "4056"]'
b'["2022-02-14 13:42:00", "130.45", "130.47", "130.41", "130.41", "6286"]'
b'["2022-02-14 13:41:00", "130.5", "130.53", "130.46", "130.46", "4235"]'
b'["2022-02-14 13:40:00", "130.51", "130.52", "130.505", "130.52", "1979"]'
b'["2022-02-14 13:38:00", "130.5", "130.51", "130.48", "130.48", "3540"]'
b'["2022-02-14 13:37:00", "130.45", "130.48", "130.4207", "130.48", "4514"]'
b'["2022-02-14 13:35:00", "130.42", "130.45", "130.42", "130.435", "2963"]'
b'["2022-02-14 13:34:00", "130.35", "130.4", "130.35", "130.39", "5453"]'
b'["2022-02-14 13:32:00", "130.42", "130.42", "130.34", "130.37", "5851"]'
b'["2022-02-14 13:31:00", "130.51", "130.535", "130.41", "130.44", "7116"]'
b'["2022-02-14 13:30:00", "130.45", "130.51", "130.39", "130.5", "21291"]'
b'["2022-02-14 13:27:00", "130.42", "130.48", "130.42", "130.45", "6815"]'
b'["2022-02-14 13:26:00", "130.45", "130.45", "130.4", "130.43", "9295"]'
b'["2022-02-14 13:25:00", "130.46", "130.47", "130.42", "130.445", "7451"]'
b'["2022-02-14 13:24:00", "130.495", "130.495", "130.445", "130.46", "6714"]'
b'["2022-02-14 13:23:00", "130.5863", "130.5863", "130.495", "130.495", "11790"]'
b'["2022-02-14 13:22:00", "130.5201", "130.59", "130.5201", "130.585", "8271"]'
b'["2022-02-14 13:21:00", "130.47", "130.56", "130.47", "130.54", "15086"]'
b'["2022-02-14 13:16:00", "130.485", "130.5", "130.445", "130.475", "5814"]'
b'["2022-02-14 13:09:00", "130.44", "130.49", "130.43", "130.48", "9323"]'
b'["2022-02-14 13:08:00", "130.455", "130.455", "130.38", "130.44", "5019"]'
b'["2022-02-14 13:07:00", "130.485", "130.49", "130.42", "130.4627", "7951"]'
b'["2022-02-14 13:05:00", "130.45", "130.48", "130.425", "130.425", "11252"]'
b'["2022-02-14 13:01:00", "130.355", "130.47", "130.355", "130.43", "7311"]'
b'["2022-02-14 13:00:00", "130.2943", "130.4", "130.2943", "130.33", "5294"]'
b'["2022-02-14 12:59:00", "130.32", "130.32", "130.21", "130.31", "10165"]'
b'["2022-02-14 12:58:00", "130.17", "130.3299", "130.17", "130.32", "9657"]'
b'["2022-02-14 12:57:00", "130.12", "130.17", "130.1", "130.13", "3303"]'
b'["2022-02-14 12:54:00", "130.035", "130.0575", "129.995", "129.995", "12899"]'
b'["2022-02-14 12:52:00", "130.09", "130.12", "130.06", "130.12", "7176"]'
b'["2022-02-14 12:51:00", "130.11", "130.125", "130.09", "130.1125", "4619"]'
b'["2022-02-14 12:50:00", "130.055", "130.12", "130.05", "130.11", "5755"]'
b'["2022-02-14 12:46:00", "130.05", "130.05", "130.0", "130.0125", "5977"]'
b'["2022-02-14 12:45:00", "130.07", "130.1025", "130.06", "130.06", "3766"]'
b'["2022-02-14 12:44:00", "130.07", "130.125", "130.07", "130.0804", "8331"]'
b'["2022-02-14 12:43:00", "129.96", "130.08", "129.96", "130.07", "9711"]'
b'["2022-02-14 12:42:00", "130.015", "130.015", "129.95", "129.95", "5238"]'
b'["2022-02-14 12:40:00", "129.92", "130.0171", "129.9", "129.95", "8022"]'
b'["2022-02-14 12:39:00", "129.9125", "129.9125", "129.85", "129.88", "11969"]'
b'["2022-02-14 12:38:00", "129.845", "129.9125", "129.83", "129.9125", "8417"]'
b'["2022-02-14 12:37:00", "129.95", "129.95", "129.845", "129.845", "12959"]'
b'["2022-02-14 12:36:00", "130.03", "130.03", "129.915", "129.93", "8031"]'
b'["2022-02-14 12:35:00", "130.1", "130.1", "130.0", "130.03", "8336"]'
b'["2022-02-14 12:31:00", "130.1325", "130.1325", "130.07", "130.125", "7262"]'
b'["2022-02-14 12:30:00", "130.09", "130.1325", "130.08", "130.1325", "9494"]'
b'["2022-02-14 12:29:00", "130.07", "130.125", "130.07", "130.11", "7448"]'
b'["2022-02-14 12:28:00", "130.08", "130.13", "130.05", "130.065", "4868"]'
b'["2022-02-14 12:27:00", "130.07", "130.105", "130.05", "130.09", "3179"]'
b'["2022-02-14 12:21:00", "130.095", "130.13", "130.05", "130.05", "6430"]'
b'["2022-02-14 12:17:00", "129.9", "129.99", "129.89", "129.99", "13388"]'
b'["2022-02-14 12:15:00", "129.86", "129.89", "129.81", "129.85", "9649"]'
b'["2022-02-14 12:13:00", "129.85", "129.8922", "129.85", "129.8922", "5203"]'
b'["2022-02-14 12:11:00", "129.86", "129.86", "129.8434", "129.85", "3798"]'
b'["2022-02-14 12:10:00", "129.85", "129.89", "129.82", "129.835", "8987"]'
b'["2022-02-14 12:08:00", "129.88", "129.89", "129.85", "129.875", "4476"]'
b'["2022-02-14 12:07:00", "129.9", "129.95", "129.88", "129.88", "5565"]'
b'["2022-02-14 12:06:00", "129.98", "129.98", "129.91", "129.92", "8420"]'
b'["2022-02-14 12:05:00", "129.91", "130.0", "129.91", "130.0", "6493"]'
b'["2022-02-14 12:02:00", "129.985", "130.1125", "129.985", "130.065", "43328"]'
b'["2022-02-14 12:01:00", "130.02", "130.02", "129.933", "129.98", "14478"]'
b'["2022-02-14 12:00:00", "129.94", "130.07", "129.94", "130.02", "19344"]'
b'["2022-02-14 11:58:00", "129.72", "129.84", "129.71", "129.8", "19405"]'
b'["2022-02-14 11:57:00", "129.74", "129.77", "129.69", "129.7002", "17183"]'
b'["2022-02-14 11:55:00", "129.719", "129.74", "129.69", "129.7", "7693"]'
b'["2022-02-14 11:51:00", "129.84", "129.88", "129.83", "129.88", "4978"]'
b'["2022-02-14 11:47:00", "129.85", "129.85", "129.78", "129.83", "9975"]'
b'["2022-02-14 11:44:00", "129.9", "129.9", "129.84", "129.88", "10834"]'
b'["2022-02-14 11:43:00", "129.88", "129.925", "129.85", "129.91", "10924"]'
b'["2022-02-14 11:42:00", "129.9", "129.91", "129.82", "129.88", "8211"]'
b'["2022-02-14 11:38:00", "129.9", "129.94", "129.85", "129.85", "8484"]'
b'["2022-02-14 11:37:00", "129.86", "129.93", "129.85", "129.9", "5701"]'
b'["2022-02-14 11:36:00", "129.82", "129.89", "129.77", "129.83", "13431"]'
b'["2022-02-14 11:35:00", "129.66", "129.85", "129.63", "129.82", "12440"]'
b'["2022-02-14 11:33:00", "129.5505", "129.66", "129.55", "129.585", "15049"]'
b'["2022-02-14 11:32:00", "129.605", "129.6204", "129.52", "129.55", "14183"]'
b'["2022-02-14 11:30:00", "129.46", "129.485", "129.39", "129.39", "32434"]'
b'["2022-02-14 11:25:00", "129.475", "129.52", "129.34", "129.3407", "13935"]'
b'["2022-02-14 11:24:00", "129.27", "129.47", "129.27", "129.47", "10560"]'
b'["2022-02-14 11:22:00", "129.35", "129.35", "129.23", "129.29", "9395"]'
b'["2022-02-14 11:20:00", "129.26", "129.35", "129.26", "129.275", "12049"]'
b'["2022-02-14 11:19:00", "129.21", "129.27", "129.2", "129.24", "7811"]'
b'["2022-02-14 11:17:00", "129.13", "129.3", "129.13", "129.26", "20137"]'
b'["2022-02-14 11:16:00", "129.14", "129.18", "129.07", "129.09", "11490"]'
b'["2022-02-14 11:13:00", "129.15", "129.21", "129.14", "129.1541", "5814"]'
b'["2022-02-14 11:11:00", "129.21", "129.27", "129.16", "129.18", "11761"]'
b'["2022-02-14 11:10:00", "129.235", "129.235", "129.18", "129.22", "6170"]'
b'["2022-02-14 11:09:00", "129.225", "129.2994", "129.17", "129.26", "11180"]'
b'["2022-02-14 11:08:00", "129.24", "129.25", "129.16", "129.22", "12072"]'
b'["2022-02-14 11:03:00", "129.4", "129.4083", "129.31", "129.34", "10060"]'
b'["2022-02-14 11:02:00", "129.3598", "129.435", "129.34", "129.435", "9181"]'
b'["2022-02-14 11:01:00", "129.2524", "129.35", "129.24", "129.34", "9101"]'
b'["2022-02-14 11:00:00", "129.39", "129.39", "129.25", "129.2536", "8984"]'
b'["2022-02-14 10:59:00", "129.355", "129.37", "129.295", "129.37", "4951"]'
b'["2022-02-14 10:58:00", "129.4169", "129.4169", "129.27", "129.36", "15178"]'
b'["2022-02-14 10:56:00", "129.415", "129.49", "129.4", "129.4154", "16305"]'
b'["2022-02-14 10:53:00", "129.46", "129.465", "129.3993", "129.44", "6097"]'
b'["2022-02-14 10:50:00", "129.66", "129.66", "129.57", "129.61", "8643"]'
b'["2022-02-14 10:49:00", "129.71", "129.73", "129.64", "129.65", "9424"]'
b'["2022-02-14 10:44:00", "129.8979", "129.9", "129.8", "129.83", "15917"]'
b'["2022-02-14 10:43:00", "129.87", "129.893", "129.85", "129.89", "4334"]'
b'["2022-02-14 10:42:00", "129.86", "129.9693", "129.855", "129.8605", "7715"]'
b'["2022-02-14 10:40:00", "129.92", "129.92", "129.87", "129.88", "4994"]'
b'["2022-02-14 10:38:00", "129.78", "129.86", "129.77", "129.8397", "10757"]'
b'["2022-02-14 10:34:00", "129.85", "129.95", "129.84", "129.95", "9253"]'
b'["2022-02-14 10:33:00", "130.01", "130.0399", "129.78", "129.84", "10012"]'
b'["2022-02-14 10:32:00", "130.1652", "130.1652", "129.93", "129.995", "45185"]'
b'["2022-02-14 10:31:00", "130.19", "130.19", "130.13", "130.15", "5543"]'
b'["2022-02-14 10:30:00", "130.25", "130.3", "130.18", "130.1974", "8092"]'
b'["2022-02-14 10:29:00", "130.095", "130.215", "130.03", "130.2001", "4670"]'
b'["2022-02-14 10:24:00", "130.29", "130.62", "130.278", "130.48", "11189"]'
b'["2022-02-14 10:22:00", "130.39", "130.405", "130.35", "130.36", "3707"]'
b'["2022-02-14 10:21:00", "130.345", "130.39", "130.28", "130.35", "4699"]'
b'["2022-02-14 10:19:00", "130.3", "130.345", "130.28", "130.33", "7417"]'
b'["2022-02-14 10:13:00", "130.415", "130.6899", "130.415", "130.5978", "6755"]'
b'["2022-02-14 10:11:00", "130.48", "130.48", "130.36", "130.42", "11313"]'
b'["2022-02-14 10:10:00", "130.55", "130.55", "130.42", "130.5", "10612"]'
b'["2022-02-14 10:06:00", "130.5", "130.5713", "130.415", "130.53", "8835"]'
b'["2022-02-14 10:05:00", "130.4", "130.49", "130.3452", "130.42", "10504"]'
b'["2022-02-14 09:58:00", "130.78", "130.8", "130.59", "130.8", "10853"]'
b'["2022-02-14 09:57:00", "130.74", "130.9", "130.7", "130.82", "12485"]'
b'["2022-02-14 09:56:00", "130.93", "130.93", "130.5801", "130.75", "21920"]'
b'["2022-02-14 09:54:00", "130.78", "131.0", "130.78", "130.95", "10471"]'
b'["2022-02-14 09:52:00", "130.81", "130.83", "130.53", "130.5706", "46114"]'
b'["2022-02-14 09:50:00", "130.68", "130.86", "130.68", "130.78", "10083"]'
b'["2022-02-14 09:47:00", "130.77", "130.795", "130.36", "130.39", "18750"]'
b'["2022-02-14 09:45:00", "130.89", "130.93", "130.73", "130.84", "12960"]'
b'["2022-02-14 09:44:00", "130.97", "131.0499", "130.9", "130.9", "13853"]'
b'["2022-02-14 09:43:00", "131.0536", "131.0536", "130.85", "130.95", "19647"]'
b'["2022-02-14 09:42:00", "131.09", "131.15", "131.0", "131.01", "6536"]'
b'["2022-02-14 09:39:00", "131.35", "131.4", "131.2446", "131.35", "12931"]'
b'["2022-02-14 09:37:00", "131.3601", "131.47", "131.31", "131.4232", "9262"]'
b'["2022-02-14 09:33:00", "132.32", "132.4", "132.05", "132.1", "17241"]'
b'["2022-02-14 09:32:00", "132.2997", "132.37", "132.17", "132.17", "4800"]'
b'["2022-02-14 09:31:00", "132.59", "132.65", "132.27", "132.38", "92262"]'
b'["2022-02-14 09:30:00", "132.46", "132.56", "132.46", "132.56", "412"]'
b'["2022-02-14 09:13:00", "132.0", "132.0", "132.0", "132.0", "140"]'
b'["2022-02-14 08:42:00", "132.36", "132.36", "132.36", "132.36", "200"]'
b'["2022-02-14 08:18:00", "132.38", "132.38", "132.36", "132.36", "1785"]'
b'["2022-02-14 08:14:00", "132.36", "132.36", "132.36", "132.36", "900"]'
b'["2022-02-14 08:01:00", "131.0", "131.0", "131.0", "131.0", "1859"]'
b'["2022-02-14 07:47:00", "132.25", "132.25", "132.25", "132.25", "707"]'
b'["2022-02-14 07:46:00", "132.25", "132.25", "132.25", "132.25", "200"]'
b'["2022-02-14 07:40:00", "132.0", "132.0", "132.0", "132.0", "668"]'
b'["2022-02-14 07:04:00", "131.25", "131.25", "131.03", "131.06", "829"]'
b'["2022-02-14 06:29:00", "131.49", "131.49", "131.49", "131.49", "312"]'
b'["2022-02-14 06:13:00", "131.2", "131.2", "131.2", "131.2", "100"]'
b'["2022-02-14 05:00:00", "131.2", "131.2", "131.2", "131.2", "200"]'
b'["2022-02-14 04:28:00", "131.88", "131.88", "131.88", "131.88", "290"]'
b'["2022-02-14 04:23:00", "131.6", "131.6", "131.6", "131.6", "200"]'
b'["2022-02-14 04:15:00", "131.32", "131.32", "131.32", "131.32", "518"]'
b'["2022-02-14 04:02:00", "131.5", "131.5", "131.5", "131.5", "111"]'
b'["2022-02-11 17:02:00", "132.62", "132.62", "132.62", "132.62", "140"]'
b'["2022-02-11 16:39:00", "132.65", "132.65", "132.65", "132.65", "202"]'
b'["2022-02-11 16:32:00", "132.7", "132.7", "132.7", "132.7", "200"]'
b'["2022-02-11 16:30:00", "132.68", "132.7", "132.68", "132.7", "1001"]'
b'["2022-02-11 16:27:00", "132.69", "132.69", "132.69", "132.69", "100"]'
b'["2022-02-11 16:25:00", "132.68", "132.68", "132.68", "132.68", "235"]'
b'["2022-02-11 16:18:00", "132.69", "132.69", "132.69", "132.69", "9130"]'
b'["2022-02-11 16:08:00", "132.25", "132.25", "132.25", "132.25", "149"]'
b'["2022-02-11 16:04:00", "132.69", "132.69", "132.69", "132.69", "14825"]'
b'["2022-02-11 16:00:00", "132.77", "132.79", "132.62", "132.63", "107986"]'
b'["2022-02-11 15:59:00", "132.85", "132.87", "132.74", "132.77", "50253"]'
b'["2022-02-11 15:58:00", "132.96", "132.985", "132.83", "132.845", "17963"]'
b'["2022-02-11 15:56:00", "132.77", "133.09", "132.77", "133.05", "29161"]'
b'["2022-02-11 15:53:00", "132.91", "132.95", "132.74", "132.94", "24923"]'
b'["2022-02-11 15:48:00", "132.62", "132.81", "132.605", "132.77", "18627"]'
b'["2022-02-11 15:45:00", "132.565", "132.65", "132.545", "132.565", "12527"]'
b'["2022-02-11 15:42:00", "132.48", "132.54", "132.46", "132.46", "11165"]'
b'["2022-02-11 15:39:00", "132.6", "132.79", "132.6", "132.75", "9250"]'
b'["2022-02-11 15:37:00", "132.7", "132.78", "132.66", "132.74", "7812"]'
b'["2022-02-11 15:34:00", "132.57", "132.7", "132.55", "132.7", "8160"]'
b'["2022-02-11 15:32:00", "132.74", "132.78", "132.69", "132.765", "8845"]'
b'["2022-02-11 15:26:00", "132.68", "132.76", "132.63", "132.7", "6279"]'
b'["2022-02-11 15:22:00", "132.73", "132.85", "132.7157", "132.8", "6248"]'
b'["2022-02-11 15:20:00", "132.77", "132.86", "132.71", "132.71", "5030"]'
b'["2022-02-11 15:17:00", "132.98", "133.0743", "132.87", "132.87", "5663"]'
b'["2022-02-11 15:14:00", "132.92", "132.97", "132.895", "132.97", "3638"]'
b'["2022-02-11 15:13:00", "132.84", "132.96", "132.82", "132.93", "9601"]'
b'["2022-02-11 15:03:00", "133.03", "133.05", "132.91", "132.935", "12868"]'
b'["2022-02-11 15:01:00", "133.07", "133.13", "133.03", "133.06", "8385"]'
b'["2022-02-11 14:58:00", "133.07", "133.115", "133.03", "133.115", "6427"]'
b'["2022-02-11 14:57:00", "132.95", "133.03", "132.92", "133.02", "7032"]'
b'["2022-02-11 14:56:00", "132.82", "132.94", "132.82", "132.911", "5040"]'
b'["2022-02-11 14:55:00", "132.835", "132.84", "132.75", "132.82", "19053"]'
b'["2022-02-11 14:53:00", "132.82", "132.83", "132.76", "132.7826", "20268"]'
b'["2022-02-11 14:52:00", "132.89", "132.915", "132.81", "132.85", "11110"]'
b'["2022-02-11 14:51:00", "132.915", "132.915", "132.85", "132.861", "6881"]'
b'["2022-02-11 14:50:00", "132.89", "132.93", "132.87", "132.92", "6499"]'
b'["2022-02-11 14:49:00", "132.89", "132.92", "132.86", "132.89", "5478"]'
b'["2022-02-11 14:46:00", "132.95", "132.985", "132.81", "132.84", "23548"]'
b'["2022-02-11 14:45:00", "133.08", "133.09", "132.91", "132.93", "10086"]'
b'["2022-02-11 14:44:00", "132.94", "133.16", "132.93", "133.09", "6616"]'
b'["2022-02-11 14:43:00", "132.94", "132.975", "132.84", "132.925", "12775"]'
b'["2022-02-11 14:42:00", "132.96", "133.02", "132.96", "133.01", "11312"]'
b'["2022-02-11 14:38:00", "133.02", "133.06", "132.9572", "133.01", "6958"]'
b'["2022-02-11 14:33:00", "132.69", "132.77", "132.66", "132.77", "9810"]'
b'["2022-02-11 14:32:00", "132.69", "132.78", "132.65", "132.66", "5371"]'
b'["2022-02-11 14:30:00", "132.73", "132.73", "132.59", "132.6", "9218"]'
b'["2022-02-11 14:28:00", "132.67", "132.8", "132.66", "132.77", "7632"]'
b'["2022-02-11 14:27:00", "132.76", "132.8061", "132.615", "132.615", "7478"]'
b'["2022-02-11 14:23:00", "133.07", "133.21", "133.0427", "133.18", "11503"]'
b'["2022-02-11 14:22:00", "132.98", "133.09", "132.98", "133.09", "14244"]'
b'["2022-02-11 14:21:00", "133.01", "133.06", "132.97", "132.97", "5942"]'
b'["2022-02-11 14:18:00", "132.86", "133.06", "132.86", "133.06", "14939"]'
b'["2022-02-11 14:14:00", "132.8", "132.86", "132.7498", "132.765", "13834"]'
b'["2022-02-11 14:13:00", "132.78", "132.86", "132.74", "132.81", "8305"]'
b'["2022-02-11 14:11:00", "132.74", "132.8", "132.66", "132.715", "7414"]'
b'["2022-02-11 14:10:00", "132.85", "132.85", "132.6", "132.7386", "26862"]'
b'["2022-02-11 14:08:00", "132.72", "133.0", "132.72", "133.0", "13285"]'
b'["2022-02-11 14:05:00", "132.55", "132.83", "132.48", "132.81", "10528"]'
b'["2022-02-11 14:03:00", "132.775", "132.775", "132.46", "132.47", "8761"]'
b'["2022-02-11 14:02:00", "132.93", "133.02", "132.71", "132.81", "8899"]'
b'["2022-02-11 14:00:00", "132.81", "132.87", "132.7901", "132.82", "3965"]'
b'["2022-02-11 13:58:00", "132.76", "132.84", "132.75", "132.8", "4725"]'
b'["2022-02-11 13:57:00", "132.92", "132.9209", "132.7213", "132.78", "10242"]'
b'["2022-02-11 13:56:00", "133.07", "133.07", "132.935", "132.99", "6434"]'
b'["2022-02-11 13:52:00", "132.8", "132.95", "132.76", "132.95", "6708"]'
b'["2022-02-11 13:50:00", "132.85", "132.92", "132.82", "132.92", "8642"]'
b'["2022-02-11 13:48:00", "132.63", "132.85", "132.57", "132.85", "15283"]'
b'["2022-02-11 13:47:00", "132.685", "132.76", "132.57", "132.63", "9382"]'
b'["2022-02-11 13:46:00", "132.93", "132.93", "132.69", "132.71", "15296"]'
b'["2022-02-11 13:44:00", "132.93", "133.05", "132.91", "132.91", "4286"]'
b'["2022-02-11 13:42:00", "133.07", "133.16", "132.98", "133.07", "25914"]'
b'["2022-02-11 13:41:00", "133.13", "133.22", "133.0406", "133.17", "16590"]'
b'["2022-02-11 13:40:00", "133.35", "133.4", "133.14", "133.14", "17710"]'
b'["2022-02-11 13:39:00", "133.51", "133.51", "133.35", "133.41", "9266"]'
b'["2022-02-11 13:38:00", "133.58", "133.58", "133.49", "133.505", "5149"]'
b'["2022-02-11 13:37:00", "133.56", "133.59", "133.514", "133.589", "6154"]'
b'["2022-02-11 13:35:00", "133.54", "133.66", "133.52", "133.6", "9117"]'
b'["2022-02-11 13:32:00", "133.55", "133.56", "133.48", "133.56", "8594"]'
b'["2022-02-11 13:28:00", "133.77", "133.8", "133.76", "133.77", "2862"]'
b'["2022-02-11 13:27:00", "133.85", "133.86", "133.79", "133.7976", "2328"]'
b'["2022-02-11 13:25:00", "133.86", "133.87", "133.8375", "133.87", "1905"]'
b'["2022-02-11 13:24:00", "133.8339", "133.87", "133.82", "133.87", "2457"]'
b'["2022-02-11 13:22:00", "133.81", "133.83", "133.8", "133.81", "3052"]'
b'["2022-02-11 13:18:00", "133.815", "133.8245", "133.781", "133.79", "4870"]'
b'["2022-02-11 13:17:00", "133.89", "133.89", "133.805", "133.805", "2829"]'
b'["2022-02-11 13:16:00", "133.89", "133.89", "133.85", "133.88", "2667"]'
b'["2022-02-11 13:15:00", "133.895", "133.91", "133.8713", "133.91", "2741"]'
b'["2022-02-11 13:14:00", "133.925", "133.94", "133.88", "133.885", "3973"]'
b'["2022-02-11 13:11:00", "133.92", "133.92", "133.86", "133.86", "1116"]'
b'["2022-02-11 13:10:00", "133.94", "133.9504", "133.9", "133.9504", "3138"]'
b'["2022-02-11 13:09:00", "133.81", "133.94", "133.81", "133.94", "8495"]'
b'["2022-02-11 13:06:00", "133.74", "133.79", "133.7276", "133.78", "3265"]'
b'["2022-02-11 13:02:00", "133.76", "133.76", "133.7205", "133.74", "2230"]'
b'["2022-02-11 13:01:00", "133.74", "133.75", "133.7287", "133.7287", "1515"]'
b'["2022-02-11 13:00:00", "133.67", "133.73", "133.655", "133.73", "4710"]'
b'["2022-02-11 12:58:00", "133.54", "133.605", "133.54", "133.605", "4646"]'
